java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold2/train.txt -ranker 2 -test MSLR-WEB10K/Fold2/test.txt -validate MSLR-WEB10K/Fold2/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold2/train.txt
Test data:	MSLR-WEB10K/Fold2/test.txt
Validation data:	MSLR-WEB10K/Fold2/vali.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 100
No. of threshold candidates: 10

Reading feature file [MSLR-WEB10K/Fold2/train.txt]... [Done.]            
(6000 ranked lists, 716683 entries read)
Reading feature file [MSLR-WEB10K/Fold2/vali.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Reading feature file [MSLR-WEB10K/Fold2/test.txt]... [Done.]            
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
1       | 8        | 0.5       | 0.1004    | 0.8037    | 0.2213    | 
2       | 63       | 0.1       | 0.0685    | 0.7204    | 0.2362    | 
3       | 104      | 0.2       | 0.0536    | 0.5699    | 0.2525    | 
4       | 8        | 0.7       | 0.0486    | 0.5578    | 0.258     | 
5       | 109      | 7.2198    | 0.0332    | 0.5385    | 0.2606    | 
6       | 105      | 0.9       | 0.0304    | 0.5137    | 0.2648    | 
7       | 130      | 26273.6   | 0.0287    | 0.4501    | 0.2887    | 
8       | 8        | 0.7       | 0.0278    | 0.4516    | 0.2902    | 
9       | 7        | 0.3       | 0.0249    | 0.3979    | 0.2992    | 
10      | 131      | 45874.8   | 0.0236    | 0.3702    | 0.3041    | 
11      | 49       | 0.1636    | 0.021     | 0.3608    | 0.3091    | 
12      | 58       | 0.1       | 0.02      | 0.3605    | 0.3092    | 
13      | 130      | 13186.8   | 0.0196    | 0.3576    | 0.3111    | 
14      | 3        | 2.7       | 0.0192    | 0.3586    | 0.3125    | 
15      | 129      | 15.4      | 0.0189    | 0.3546    | 0.3163    | 
16      | 48       | 0.475     | 0.018     | 0.348     | 0.3169    | 
17      | 105      | 0.8       | 0.0172    | 0.3477    | 0.3172    | 
18      | 3        | 2.7       | 0.0166    | 0.3482    | 0.3176    | 
19      | 130      | 45903.8   | 0.0166    | 0.3472    | 0.321     | 
20      | 129      | 15.4      | 0.016     | 0.3482    | 0.3226    | 
21      | 3        | 2.7       | 0.0154    | 0.3483    | 0.3225    | 
22      | 7        | 0.4       | 0.0149    | 0.3466    | 0.3221    | 
23      | 115      | -19.225   | 0.0147    | 0.347     | 0.3225    | 
24      | 3        | 2.7       | 0.0136    | 0.3471    | 0.3222    | 
25      | 115      | -19.225   | 0.0134    | 0.3476    | 0.3227    | 
26      | 131      | 39321.4   | 0.0132    | 0.3455    | 0.3226    | 
27      | 109      | 14.4397   | 0.0128    | 0.345     | 0.3235    | 
28      | 130      | 58990.6   | 0.0125    | 0.3457    | 0.326     | 
29      | 115      | -19.225   | 0.0125    | 0.3461    | 0.3261    | 
30      | 129      | 15.4      | 0.0123    | 0.3464    | 0.3267    | 
31      | 3        | 2.7       | 0.0119    | 0.3464    | 0.3269    | 
32      | 48       | 0.475     | 0.0116    | 0.346     | 0.3254    | 
33      | 115      | -19.225   | 0.0112    | 0.3462    | 0.3254    | 
34      | 129      | 15.4      | 0.0105    | 0.3461    | 0.3259    | 
35      | 115      | -19.225   | 0.0104    | 0.3463    | 0.326     | 
36      | 107      | 14.7495   | 0.0104    | 0.3455    | 0.326     | 
37      | 130      | 58990.6   | 0.0101    | 0.3469    | 0.3274    | 
38      | 3        | 2.7       | 0.0102    | 0.347     | 0.3274    | 
39      | 132      | 26.3      | 0.0101    | 0.3437    | 0.3272    | 
40      | 105      | 0.9       | 0.01      | 0.3436    | 0.3271    | 
41      | 130      | 6643.4    | 0.01      | 0.3432    | 0.3291    | 
42      | 109      | 14.4397   | 0.0097    | 0.3434    | 0.3298    | 
43      | 115      | -19.225   | 0.0093    | 0.3436    | 0.3298    | 
44      | 107      | 14.7495   | 0.0091    | 0.3434    | 0.3294    | 
45      | 3        | 2.7       | 0.0089    | 0.3434    | 0.3292    | 
46      | 129      | 15.4      | 0.0087    | 0.3435    | 0.3288    | 
47      | 115      | -19.225   | 0.0084    | 0.3436    | 0.329     | 
48      | 2        | 1.8       | 0.0083    | 0.3433    | 0.3288    | 
49      | 60       | 0.0801    | 0.0082    | 0.342     | 0.3283    | 
50      | 130      | 58990.6   | 0.0079    | 0.3431    | 0.3288    | 
51      | 3        | 2.7       | 0.008     | 0.3431    | 0.3287    | 
52      | 125      | -17.5528  | 0.0077    | 0.343     | 0.3287    | 
53      | 132      | 26.3      | 0.0077    | 0.3422    | 0.3282    | 
54      | 107      | 14.7495   | 0.0077    | 0.3421    | 0.3286    | 
55      | 131      | 45874.8   | 0.0075    | 0.3416    | 0.3283    | 
56      | 116      | -18.5667  | 0.0073    | 0.3413    | 0.3284    | 
57      | 115      | -19.225   | 0.0071    | 0.3415    | 0.3286    | 
58      | 109      | 14.4397   | 0.007     | 0.3414    | 0.3287    | 
59      | 129      | 15.4      | 0.0069    | 0.3414    | 0.3283    | 
60      | 48       | 0.475     | 0.0069    | 0.3413    | 0.3283    | 
61      | 130      | 39360.4   | 0.0069    | 0.3418    | 0.3286    | 
62      | 107      | 14.7495   | 0.0067    | 0.3416    | 0.3287    | 
63      | 3        | 2.7       | 0.0066    | 0.3416    | 0.3284    | 
64      | 115      | -19.225   | 0.0063    | 0.3419    | 0.3285    | 
65      | 2        | 1.8       | 0.0061    | 0.342     | 0.3288    | 
66      | 132      | 26.3      | 0.0061    | 0.3411    | 0.3281    | 
67      | 116      | -18.5667  | 0.006     | 0.3412    | 0.3283    | 
68      | 129      | 15.4      | 0.0058    | 0.3413    | 0.3278    | 
69      | 3        | 2.7       | 0.0058    | 0.3412    | 0.3277    | 
70      | 60       | 0.0801    | 0.0058    | 0.3408    | 0.3276    | 
71      | 130      | 6643.4    | 0.0058    | 0.3413    | 0.3283    | 
72      | 115      | -19.225   | 0.0056    | 0.3414    | 0.3283    | 
73      | 107      | 14.7495   | 0.0055    | 0.3413    | 0.3281    | 
74      | 3        | 2.7       | 0.0053    | 0.3413    | 0.328     | 
75      | 130      | 58990.6   | 0.0053    | 0.3417    | 0.3287    | 
