java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold5/train.txt -ranker 2 -test MSLR-WEB10K/Fold5/test.txt -validate MSLR-WEB10K/Fold5/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold5/train.txt
Test data:	MSLR-WEB10K/Fold5/test.txt
Validation data:	MSLR-WEB10K/Fold5/vali.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 100
No. of threshold candidates: 10

Reading feature file [MSLR-WEB10K/Fold5/train.txt]... [Done.]            
(6000 ranked lists, 722602 entries read)
Reading feature file [MSLR-WEB10K/Fold5/vali.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Reading feature file [MSLR-WEB10K/Fold5/test.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
1       | 8        | 0.6       | 0.0988    | 0.8058    | 0.222     | 
2       | 63       | 0.1       | 0.066     | 0.7189    | 0.2344    | 
3       | 104      | 0.2       | 0.0541    | 0.5708    | 0.2504    | 
4       | 8        | 0.7       | 0.0465    | 0.5584    | 0.2573    | 
5       | 108      | 14.6339   | 0.0376    | 0.5136    | 0.2622    | 
6       | 49       | 0.16      | 0.0317    | 0.4652    | 0.2719    | 
7       | 110      | 16.5249   | 0.0303    | 0.4561    | 0.2759    | 
8       | 7        | 0.2       | 0.029     | 0.4009    | 0.2896    | 
9       | 130      | 26274.0   | 0.0269    | 0.3754    | 0.3002    | 
10      | 3        | 1.5       | 0.0275    | 0.3754    | 0.3006    | 
11      | 131      | 45874.8   | 0.0257    | 0.358     | 0.3092    | 
12      | 110      | 16.5249   | 0.0233    | 0.3584    | 0.3097    | 
13      | 105      | 0.9       | 0.0206    | 0.3551    | 0.3117    | 
14      | 130      | 45904.5   | 0.0202    | 0.3549    | 0.3174    | 
15      | 7        | 0.3       | 0.0192    | 0.3516    | 0.3178    | 
16      | 3        | 1.5       | 0.0187    | 0.3518    | 0.3181    | 
17      | 109      | 11.0225   | 0.0178    | 0.3501    | 0.3182    | 
18      | 50       | 0.1       | 0.0163    | 0.3417    | 0.3171    | 
19      | 130      | 13187.0   | 0.0164    | 0.3417    | 0.3204    | 
20      | 131      | 32768.0   | 0.0159    | 0.3403    | 0.3213    | 
21      | 110      | 16.5249   | 0.0156    | 0.3404    | 0.3216    | 
22      | 115      | -16.0345  | 0.0147    | 0.3403    | 0.3225    | 
23      | 129      | 17.8      | 0.0146    | 0.3384    | 0.3251    | 
24      | 110      | 31.5572   | 0.014     | 0.3381    | 0.3259    | 
25      | 107      | 10.4307   | 0.0137    | 0.3379    | 0.3254    | 
26      | 108      | 21.9508   | 0.0134    | 0.3366    | 0.3256    | 
27      | 123      | -16.8442  | 0.0128    | 0.3367    | 0.3256    | 
28      | 129      | 17.8      | 0.0125    | 0.3376    | 0.3279    | 
29      | 110      | 31.5572   | 0.0124    | 0.3379    | 0.3283    | 
30      | 49       | 0.24      | 0.0121    | 0.3376    | 0.3298    | 
31      | 130      | 58991.5   | 0.0119    | 0.3387    | 0.3318    | 
32      | 115      | -16.0345  | 0.0117    | 0.3388    | 0.3319    | 
33      | 110      | 31.5572   | 0.0112    | 0.3389    | 0.3316    | 
34      | 107      | 10.4307   | 0.0108    | 0.3377    | 0.3308    | 
35      | 113      | -14.6692  | 0.0107    | 0.3379    | 0.3313    | 
36      | 129      | 17.8      | 0.0106    | 0.3382    | 0.3324    | 
37      | 50       | 0.1       | 0.0104    | 0.3373    | 0.3315    | 
38      | 130      | 39361.0   | 0.0101    | 0.339     | 0.3325    | 
39      | 108      | 21.9508   | 0.0101    | 0.3392    | 0.3328    | 
40      | 131      | 45874.8   | 0.0098    | 0.3386    | 0.333     | 
41      | 106      | 31.0988   | 0.0099    | 0.3383    | 0.3323    | 
42      | 123      | -16.8442  | 0.0092    | 0.3384    | 0.3325    | 
