java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold3/train.txt -ranker 2 -test MSLR-WEB10K/Fold3/test.txt -validate MSLR-WEB10K/Fold3/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold3/train.txt
Test data:	MSLR-WEB10K/Fold3/test.txt
Validation data:	MSLR-WEB10K/Fold3/vali.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 100
No. of threshold candidates: 10

Reading feature file [MSLR-WEB10K/Fold3/train.txt]... [Done.]            
(6000 ranked lists, 719111 entries read)
Reading feature file [MSLR-WEB10K/Fold3/vali.txt]... [Done.]            
(2000 ranked lists, 241988 entries read)
Reading feature file [MSLR-WEB10K/Fold3/test.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
1       | 8        | 0.5       | 0.1004    | 0.8053    | 0.2226    | 
2       | 63       | 0.1       | 0.0693    | 0.7241    | 0.2396    | 
3       | 104      | 0.2       | 0.054     | 0.5757    | 0.2524    | 
4       | 8        | 0.7       | 0.049     | 0.5633    | 0.2595    | 
5       | 105      | 0.9       | 0.0325    | 0.5369    | 0.2638    | 
6       | 109      | 6.7632    | 0.031     | 0.5227    | 0.2632    | 
7       | 7        | 0.2       | 0.0276    | 0.4292    | 0.2824    | 
8       | 130      | 26274.0   | 0.0268    | 0.3921    | 0.2915    | 
9       | 8        | 0.7       | 0.0272    | 0.3939    | 0.2921    | 
10      | 131      | 45874.8   | 0.026     | 0.3686    | 0.2976    | 
11      | 49       | 0.1636    | 0.0205    | 0.3599    | 0.3061    | 
12      | 105      | 0.8       | 0.0198    | 0.3596    | 0.3068    | 
13      | 130      | 39361.0   | 0.0191    | 0.3595    | 0.3118    | 
14      | 129      | 16.6      | 0.0181    | 0.355     | 0.315     | 
15      | 3        | 2.7       | 0.018     | 0.3555    | 0.315     | 
16      | 7        | 0.4       | 0.0173    | 0.3537    | 0.3161    | 
17      | 48       | 0.475     | 0.017     | 0.3475    | 0.3167    | 
18      | 3        | 2.7       | 0.0159    | 0.3479    | 0.3168    | 
19      | 130      | 13187.0   | 0.0152    | 0.3466    | 0.3183    | 
20      | 129      | 16.6      | 0.015     | 0.3472    | 0.3182    | 
21      | 115      | -19.225   | 0.0148    | 0.3471    | 0.3184    | 
22      | 3        | 2.7       | 0.0145    | 0.3474    | 0.3182    | 
23      | 131      | 45874.8   | 0.0141    | 0.3467    | 0.3191    | 
24      | 58       | 0.1       | 0.014     | 0.3465    | 0.3189    | 
25      | 115      | -19.225   | 0.0132    | 0.3471    | 0.319     | 
26      | 109      | 14.0338   | 0.013     | 0.3464    | 0.3197    | 
27      | 3        | 2.7       | 0.0125    | 0.3466    | 0.3196    | 
28      | 130      | 58991.5   | 0.0125    | 0.3464    | 0.3222    | 
29      | 115      | -19.225   | 0.012     | 0.3466    | 0.3222    | 
30      | 129      | 16.6      | 0.0118    | 0.3471    | 0.3223    | 
